gene,log2FoldChange,pvalue,padj
ERBB2,3.9794098873144046,6.150647300580788e-34,6.150647300580788e-30
MKI67,3.342078154751367,2.4827894057242526e-29,8.27596468574751e-26
MYC,3.1426311407373992,1.3579035501085166e-26,2.2631725835141946e-23
CCND1,2.968508501474134,1.8842883830795503e-23,1.7129894391632275e-20
EGFR,2.418770585831152,1.2597975098702079e-18,8.398650065801386e-16
KRAS,2.5026925765839385,6.1794745415331734e-21,4.753441955025518e-18
PIK3CA,1.8868693122534443,9.393503403593049e-14,4.2697742743604766e-11
MMP1,2.631961397620165,1.1458517587958482e-24,1.2731686208842758e-21
MMP13,3.3221293089996937,9.838959723056328e-28,2.459739930764082e-24
COL10A1,3.355643597744897,3.1321255501319057e-24,3.1321255501319057e-21
CST1,3.525093111969282,2.5396339309080396e-33,1.2698169654540197e-29
BIRC5,2.443720438437479,3.8798119716532315e-17,2.1554510953629064e-14
TOP2A,2.46628174434034,2.463987776542981e-27,4.927975553085962e-24
AURKA,1.9813590319284113,1.1420066962013717e-15,5.710033481006858e-13
NEK2,2.380203557954286,1.7810694518017118e-17,1.0476879128245364e-14
ESR1,-2.6981187266180706,8.625750104751263e-25,1.0782187630939077e-21
PGR,-1.7876346305889879,1.8509372577999237e-11,8.047553294782277e-09
GATA3,-1.5421362034223867,3.872004342346552e-09,1.548801736938621e-06
FOXA1,-1.6548643064359867,7.02331090974509e-14,3.344433766545281e-11
CDH1,-1.1394948211699605,2.775468209629423e-07,6.033626542672659e-05
PTEN,-1.2554069636652683,7.520283905026123e-09,2.892416886548509e-06
BRCA1,-0.8792835895221298,1.0783930525529885e-05,0.0005616630482046816
CA4,-2.6978263611105824,2.1814861525164514e-22,1.817905127097043e-19
LEP,-2.7285203156847526,7.6180582314644e-25,1.0782187630939077e-21
ADIPOQ,-2.166439224958979,6.793633442457392e-19,4.852595316040995e-16
MYOC,-1.7862202824939288,9.729198511332918e-16,5.120630795438378e-13
SCARA5,-1.9820115188794514,5.872759593951554e-18,3.670474746219721e-15
GENE_00027,0.9158418416223961,3.772293523900185e-05,0.0009747528485530195
GENE_00028,0.6348029809595364,0.00920443824798179,0.022534569662581876
GENE_00029,0.7317293662148767,0.00019321319788017258,0.0025027616305721835
GENE_00030,0.31321252630927354,0.13311915091019924,0.1633163426698555
GENE_00031,0.26078715920001727,0.25395985155014966,0.2826172396507341
GENE_00032,0.5528540117497602,0.014682755449052086,0.03104833040611564
GENE_00033,0.36024843075103874,0.10046115507251535,0.13008048047716605
GENE_00034,0.3402446229143292,0.06684288160377873,0.09388045169070046
GENE_00035,0.726228197902274,0.003860698112217531,0.013024776055388597
GENE_00036,0.3517523415518573,0.04296887455130124,0.06697143789167899
GENE_00037,0.043908671586935455,0.843284818089676,0.8501712048489526
GENE_00038,0.30222077523176694,0.16043010328753152,0.19069309792883812
GENE_00039,0.7103586034593183,0.0015599296636822251,0.0077325607124290804
GENE_00040,0.7623363388720694,0.00024775482883886634,0.0028741859494068023
GENE_00041,0.29201640552347374,0.19078582336359992,0.2209959728525425
GENE_00042,0.22313795394601676,0.31344732655036744,0.34070361581561676
GENE_00043,0.3865822399537677,0.0446295208853569,0.06891525769820399
GENE_00044,0.519721740529766,0.014827309449013507,0.03127464553683507
GENE_00045,0.4056940112837175,0.0825118108978155,0.11136085203439773
GENE_00046,0.21064038922619677,0.32993640991082207,0.35703539650559685
GENE_00047,0.2014095522714623,0.34819454221141966,0.37476540976366335
GENE_00048,0.21923803555480958,0.2500474747400956,0.2789463127399549
GENE_00049,0.6143535432049392,0.004579856650703046,0.01447032117125765
GENE_00050,0.42812593139030586,0.04073363789322697,0.0642385079533622
GENE_00051,0.2847744085150188,0.19613845753472828,0.2263477343926616
GENE_00052,0.9086298677746614,3.1592312209663225e-05,0.0009058387667682207
GENE_00053,0.2191952202550942,0.3066626842726292,0.3343101322060713
GENE_00054,0.31350947623350933,0.10685230097966189,0.13658737182623276
GENE_00055,0.34338140913634785,0.07830959562605397,0.10687811604483959
GENE_00056,0.5183864242681695,0.01292311633985814,0.028469086966952516
GENE_00057,0.6328833147022586,0.0011574623318383855,0.006569025719854628
GENE_00058,0.30855777134555407,0.18061749014859046,0.2112732368096742
GENE_00059,0.3793374108813756,0.044887384480492634,0.06928134662832633
GENE_00060,0.4660251653203158,0.01790178775428519,0.03567514498661855
GENE_00061,0.2880944348872072,0.20980230006219672,0.23980146309543574
GENE_00062,0.5864565715498831,0.007402333103852526,0.019553720113505594
GENE_00063,0.4232360502980814,0.05161452927688477,0.07679590727106796
GENE_00064,0.5004583484718808,0.012603533613693473,0.0279705583970117
GENE_00065,0.5204779705663798,0.015495457542056912,0.032275479154461384
GENE_00066,0.4085307989990268,0.06167985057028396,0.0882401295712217
GENE_00067,0.5259187973530803,0.015727162905282765,0.032654337729518076
GENE_00068,0.32445597753089306,0.15242252993688785,0.1826513240705666
GENE_00069,0.42549347259564296,0.0320723414135799,0.05403932841378247
GENE_00070,0.6693365721907814,0.005726847072728133,0.01669634715081088
GENE_00071,0.32155507382415127,0.11672312076241566,0.14632458413240024
GENE_00072,0.5190708198532743,0.009094893614342148,0.022350862481971826
GENE_00073,0.644133703593945,0.0019954259517156007,0.008974901478763342
GENE_00074,0.5290943823280667,0.01320670700445621,0.028924018844625952
GENE_00075,0.3001189179013375,0.1490893092446399,0.17934477233807275
GENE_00076,0.2667746588030262,0.22071944953572672,0.2504759981113558
GENE_00077,0.6158011632005067,0.009985367834381672,0.023877015385895914
GENE_00078,0.36623590722983224,0.08166938197371147,0.11054328908190508
GENE_00079,0.5935976533321927,0.007404177619623976,0.019553720113505594
GENE_00080,0.4967227663560303,0.021305665661689423,0.04008591846037521
GENE_00081,0.2616502216038272,0.2019122892753445,0.2318432532728723
GENE_00082,0.32608432796008024,0.14691385128435397,0.17704730210213784
GENE_00083,0.6549561153187007,0.0004007750671240253,0.0036960570274434923
GENE_00084,0.6327079376408573,0.0036280052402500327,0.012527642404178288
GENE_00085,0.0791835564932617,0.6735476176056759,0.6866628785866815
GENE_00086,0.5284518876694371,0.007439187931998486,0.01959743923076524
GENE_00087,0.6989554283933366,0.0025631716323552644,0.01023630843592358
GENE_00088,0.3625676100863249,0.056870207059349226,0.08270334602128512
GENE_00089,0.6771438453742347,0.001416313398483497,0.007332447515901957
GENE_00090,0.24285225484946515,0.21736070674990707,0.24711312727365514
GENE_00091,0.8098087564293914,0.00011408462239312825,0.0018763918156764513
GENE_00092,0.3556877424790832,0.14147536704690697,0.17154767436268578
GENE_00093,0.4508806170237154,0.020705362741117457,0.0392742085377797
GENE_00094,0.4234505678177749,0.047313953328115985,0.07209195996970286
GENE_00095,0.6811509915266818,0.0003230619467421467,0.0033111081039506347
